Регион,Дата,Наменование ЖК,Рацион,Масляная,Капроновая,Каприловая,Каприновая,Деценовая,Лауриновая,Миристиновая,Миристолеиновая,Пальмитиновая,Пальмитолеиновая,Стеариновая,Олеиновая,Линолевая,Линоленовая,Арахиновая,Бегеновая,Прочие,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17
Калуга,2025-07-11,МТФ Романово,Отчет_Д1 МТФ Романово 11.07.25 _КНЗ,3.2,2.2,1.39,3.57,0.25,4.34,11.23,1.04,28.11,2.01,10.38,23.67,2.79,0.49,0.15,"<0,05",-,"7,1359","17,1416","0,2543","6,6389","24,6864","17,7009","6,6425","6,8747","28,5194","6,9631","46,4587","35,3941","3,4929","2,7611","7,9401","0,9375","0,4101","0,3842"
СевНива,2025-07-23,СНБ Семено-Макарово,Семено Макарово Д1_23.07.2025_СНБ,3.36,2.17,1.31,3.32,0.24,4.12,11.41,1.21,34.6,2.59,6.78,20.89,2.22,0.39,0.1,"<0,05",-,"7,3309","16,9314","27,9387","26,2771","16,9350","16,8907","6,9465","6,8017","22,5985","8,0041","44,8812","4,3135","3,5939","7,3192","0,8226","0,3893","0,3854","1,5527"
СевНива,2025-07-23,СНО Курская Васильевка,Д1 Курская Васильевка 23.07.25v1_СНО,3.25,2.12,1.26,3.24,0.22,4.08,11.2,1.18,33.08,2.54,7.59,22.16,2.44,0.41,0.11,"<0,05",-,"16,8076","17,1382","6,1132","26,8004","16,7810","8,1766","6,5261","28,0022","6,6327","45,0328","3,8211","3,2024","7,2614","0,8688","0,3770","0,3827","1,4413","7,0179"
СевНива,2025-07-23,СНС Старое Резяпкино,Д1_Старое резяпкино_23.07.25_V2_СНС,3.3,2.1,1.24,2.96,0.18,3.54,10.23,0.98,31.19,2.49,8.39,23.23,2.57,0.52,0.12,"<0,05",-,"11,1560","7,1247","16,9363","27,8201","21,1711","5,0951","32,9151","43,8982","27,2020","17,2270","17,4897","4,1024","0,9330","0,4442","0,5009","0,3938","0,3808","1,4049"
СевНива,2025-07-23,СНТ Наратлы,ЖК Наратлы Д1 от 23.07.25_СНТ,3.14,2.1,1.28,3.3,0.21,4.12,11.15,1.23,33.06,2.49,7.17,22.38,2.5,0.36,0.1,"<0,05",-,"11,1017","7,0962","16,5073","27,0532","21,4310","6,0692","33,1224","44,1719","26,7497","16,5619","17,5632","4,3127","0,8291","0,5047","0,5472","0,3896","0,3895","1,5857"
Калуга,2024-04-24,МТФ Романово,Отчет_Д1 МТФ Романово (24.04.24)_КНЗ,2.95,2.29,1.34,3.14,0.258,3.57,10.78,0.994,32.16,2.05,8.98,22.81,2.61,0.454,0.131,0.006,5.48,"7,2561","17,1345","6,1163","26,1493","16,0101","16,3714","6,8627","4,6682","30,7993","7,4339","46,4883","3,0188","2,3348","6,9401","0,9287","0,3763","0,3895","0,4380"
Калуга,2024-04-14,Сугоново,Отчет_Д1 Сугоново 14.04.25_КНВ,2.4,1.8,1.2,3.1,н/д,3.8,10.6,1.0,31.6,2.0,9.0,23.0,3.0,0.4,0.15,0.09,=100-SUM(E100:T100),"16,9851","11,6878","25,9012","16,2549","7,5064","6,0064","6,1305","15,1852","15,6534","6,0569","6,4358","29,0015","21,8532","45,1429","4,7417","3,9130","7,0146","0,8188"
Калуга,2024-04-14,Уланово,Отчет_Д1 Уланово 14.04.24_КНЗ,2.5,1.8,1.2,3.0,н/д,3.6,10.5,1.0,31.2,1.9,9.0,23.6,3.1,0.4,0.07,0.07,=100-SUM(E101:T101),"7,4556","17,0892","6,2803","25,6590","15,2784","16,9628","6,4363","7,0907","28,5489","5,8380","44,7887","4,5992","3,7486","7,5980","0,8355","0,3994","0,3795","0,4566"
Калуга,2024-04-14,Гусево,Отчет_Д1 Гусево  (14.04.24)_КНЗ,2.5,1.9,1.3,3.4,н/д,4.3,11.3,1.2,31.6,1.8,8.0,21.4,3.4,0.4,0.12,0.1,=100-SUM(E102:T102),"7,4493","17,1706","6,4514","25,5019","15,4453","16,7484","6,5030","6,4623","28,8929","5,9288","45,0776","4,3561","3,5760","7,6279","0,8624","0,3862","0,3850","0,4565"
Калуга,2024-04-14,Аристово,Отчет_Д1 Аристово 14.04.25_КНВ,2.3,1.8,1.2,3.1,н/д,3.9,10.9,1.1,31.0,1.9,9.2,23.0,3.0,0.5,0.15,0.09,=100-SUM(E103:T103),"17,0323","11,6253","25,3531","16,0968","7,4519","6,1119","6,9143","15,9167","16,0882","7,0166","6,8807","28,7639","21,4801","46,3474","4,2256","3,5432","6,8270","0,7996"
Калуга,2024-04-14,Богданино,Отчет_ЖК Богданино Д1 14.04.25_v1_КНЮ,2.4,1.9,1.3,3.3,н/д,4.0,11.7,1.1,33.6,2.0,8.2,20.3,2.7,0.3,0.13,0.09,=100-SUM(E104:T104),"26,2432","15,7779","16,7418","7,4541","6,2036","28,1666","22,1845","45,0112","5,7475","4,5884","0,8113","0,3858","0,3441","0,3577","1,4021","0,4241","6,1040","7,2956"
Калуга,2024-04-14,Бушовка,Отчет_ЖК Бушовка Д1 14.04.2025_v1_КНЮ,2.3,1.9,1.3,3.3,н/д,4.0,11.9,1.1,32.7,1.9,8.3,20.8,3.0,0.4,0.15,0.1,=100-SUM(E105:T105),"27,1930","16,6021","16,6688","7,4970","6,3446","28,2393","22,3572","44,1623","5,7880","4,6141","0,8205","0,3808","0,3367","0,3571","1,3967","0,4114","5,9813","6,5280"
МоПеТю,2025-07-25,МТФ Гилево,Гилево Д1 25.07.25_АФМ,3.25,2.9,1.6,2.47,-,3.5,10.1,0.9,29.12,2.1,10.15,26.3,3.9,-,0.06,0.03,-,"6,6773","16,2294","9,6222","6,6339","4,7410","32,8867","18,3897","18,2478","10,2829","22,6691","3,6309","25,7069","19,0713","38,6326","3,8950","2,7452","8,1436","0,9147"
МоПеТю,2025-07-25,ЖК Плеханово,Плеханово Д1 25.07.25_АФМ,3.23,2.8,1.64,2.31,-,3.78,10.12,0.9,29.1,2.05,10.11,26.2,3.81,-,0.06,0.03,-,"7,3725","16,4801","10,4811","6,0225","6,0297","26,9965","16,6786","18,0880","7,7145","19,3394","7,3303","25,9990","19,6212","43,5652","4,5839","3,4757","8,1138","0,8415"
Калуга,2024-04-24,Гусево,Отчет_Д1 Уланово 14.04.24_КНЗ,2.78,2.36,1.5,3.84,0.338,4.57,12.08,1.26,31.6,1.94,7.46,19.98,3.3,0.537,0.129,0.008,6.32,"7,4556","17,0892","6,2803","25,6590","15,2784","16,9628","6,4363","7,0907","28,5489","5,8380","44,7887","4,5992","3,7486","7,5980","0,8355","0,3994","0,3795","0,4566"
Калуга,2024-04-24,Уланово,Отчет_Д1 Гусево  (14.04.24)_КНЗ,3.07,2.57,1.58,3.86,0.318,4.29,12.25,1.12,32.13,1.78,8.24,19.82,2.79,0.434,0.126,0.006,5.62,"7,4493","17,1706","6,4514","25,5019","15,4453","16,7484","6,5030","6,4623","28,8929","5,9288","45,0776","4,3561","3,5760","7,6279","0,8624","0,3862","0,3850","0,4565"
